"eco_id","count","sum"
"17093","551","72410800"
"17092","532","73056678"
"17031","512","16758940"
"17037","498","52212799"
"17048","496","27057155"
"17049","436","10638492"
"17030","431","21227629"
"17091","333","48556400"
"17097","327","33027116"
"17035","306","12123695"
"17072","299","123627409"
"17086","299","9320731"
"17047","298","11343018"
"17027","269","28789179"
"17045","262","39929630"
"17090","261","38570865"
"17075","250","68903167"
"17041","241","10410808"
"17043","233","12400262"
"17087","212","18789150"
"17040","207","5731225"
"17024","198","33862018"
"17009","196","45175658"
"17066","196","55702443"
"17094","193","32280310"
"17068","181","49096929"
"17095","181","28666185"
"17085","178","11684827"
"17029","177","7112710"
"17012","175","23253123"
"17071","170","3645639"
"17070","148","23496171"
"17046","141","26003683"
"17013","139","27100682"
"17032","139","41426180"
"17063","136","16755900"
"17051","134","4042653"
"17020","128","39200666"
"17044","128","23069465"
"17008","126","31055126"
"17019","126","42345810"
"17096","126","19640895"
"17006","123","23882290"
"17039","123","3254177"
"17015","119","30473446"
"17017","117","11482330"
"17025","117","26672896"
"17023","115","39034245"
"17065","115","59105246"
"17033","114","17611268"
"17088","114","20641030"
"17073","105","42378626"
"17011","96","47787505"
"17016","95","31245597"
"17067","94","70641985"
"17010","93","16893405"
"17018","92","34343192"
"17074","79","19787463"
"17036","77","23395185"
"17014","73","7006098"
"17069","72","26920055"
"17028","70","3277324"
"17050","70","10857623"
"17026","68","3677166"
"17022","64","3996857"
"17021","51","9413582"
"17007","41","7372219"
"17101","37","5087085"
